Target_genes	TCF3|Average	SRX107286|CCRF-CEM	SRX190201|GM12878	SRX10477210|Hep_G2	SRX10477211|Hep_G2	SRX8736984|hESC_derived_neural_cells	SRX8736983|hESC_H1	SRX12024651|hESC_H9	SRX12024653|hESC_H9	SRX656347|ICN12	SRX128780|Jurkat_(Clone_E6-1)	SRX10478377|K-562	SRX10478378|K-562	SRX236115|Kasumi-1	SRX1212540|RAMOS	SRX7083392|RAMOS	SRX2043230|RCH-ACV	SRX158105|RPMI_8402	SRX158106|RPMI_8402	SRX2043226|SEM	STRING
FSTL1	16.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0	0	0
FAM24B	16.789474	0	128	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0
EFHD2	16.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0	0	0
DIP2C	16.789474	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	181	0	0	0	0
COQ3	16.789474	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0
CNGA1	16.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0	0	0
CCDC169-SOHLH2	16.789474	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0	0	0	0	0	0
CCDC169	16.789474	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0	0	0	0	0	0
C1QTNF5	16.789474	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	214	0	0	0	0
BLVRA	16.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0	0	0
ALAS1	16.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0	0	0
AFDN	16.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0	0	0
SDR42E1	16.736842	0	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SBSPON	16.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0
NEGR1	16.736842	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	154	0	0	0	0
LRRC49	16.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0
LARP6	16.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0
EPB41L3	16.736842	0	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DYDC2	16.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0
DYDC1	16.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0
COA3	16.736842	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	213	0	0	0	0
CNTD1	16.736842	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	213	0	0	0	0
BICRA	16.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0
AQP2	16.736842	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	192	0	0	0	0
THEM4	16.684211	0	175	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0
KLHL17	16.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	0	0	0	0
GPR3	16.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	0	0	0	0
CXCL6	16.684211	0	0	0	0	0	0	0	0	0	0	0	0	317	0	0	0	0	0	0	0
ADGRG3	16.684211	0	0	0	0	0	0	0	0	0	0	150	167	0	0	0	0	0	0	0	0
SAMSN1	16.631579	0	108	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0
PSENEN	16.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0	0	0
NDUFS1	16.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0	0	0
KIF5C	16.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0	0	0
FBXL16	16.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0	0	0
EEF1B2	16.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0	0	0
TMEM221	16.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0
SPPL2B	16.578947	0	128	0	0	0	0	0	0	0	0	96	91	0	0	0	0	0	0	0	0
PHF24	16.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0
NT5E	16.578947	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	208	0	0	0	0
LSM7	16.578947	0	128	0	0	0	0	0	0	0	0	96	91	0	0	0	0	0	0	0	0
LRRC75A	16.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0
LIN7A	16.578947	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	120	0	0	0	0
IRF3	16.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0
FARSB	16.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0
BCL2L12	16.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0
S100A12	16.526316	0	0	0	0	0	0	0	0	0	0	0	0	314	0	0	0	0	0	0	0
RPS4X	16.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	0	0	0	0
NFASC	16.526316	0	0	0	0	0	0	0	0	0	0	98	216	0	0	0	0	0	0	0	0
LRRC7	16.526316	0	0	0	0	0	0	0	0	0	0	115	199	0	0	0	0	0	0	0	0
CACNA1D	16.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	0	0	0	0
ARL6IP5	16.526316	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	181	0	0	0	0
ADRA2A	16.526316	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	154	0	0	0	0
ZNF467	16.473684	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	159	0	0	0	0
TMEM241	16.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0	0	0	0
SLC30A4	16.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0	0	0	0
SERPINC1	16.473684	0	0	0	0	0	0	0	0	0	0	0	313	0	0	0	0	0	0	0	0
RBMS3	16.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0	0	0	0
PROM1	16.473684	0	0	0	0	0	0	0	0	0	0	0	0	313	0	0	0	0	0	0	0
PPFIA2	16.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	78	0
LMAN2L	16.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0	0	0	0
HBG2	16.473684	0	0	0	0	0	0	0	0	0	0	160	153	0	0	0	0	0	0	0	0
EVC	16.473684	0	0	0	0	0	0	0	0	0	0	0	0	313	0	0	0	0	0	0	0
EHD4	16.473684	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0
CNR1	16.473684	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0
YIPF6	16.421053	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	237	0	0	0	0
TWIST2	16.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0
SMOC1	16.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0
RIIAD1	16.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0
PREB	16.421053	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	207	0	0	0	0
NTN4	16.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0
ZSCAN1	16.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	0	0	0
ZNF718	16.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	0	0	0
UBALD1	16.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	0	0	0
GATA3	16.368421	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	163	0	0	0	0
EOMES	16.368421	0	0	0	0	0	0	0	0	0	0	0	0	311	0	0	0	0	0	0	0
ZACN	16.315789	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	166	0	0	0	0
RAMP3	16.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0
NUDT16L1	16.315789	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0
LGALS9C	16.315789	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0
AS3MT	16.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0
TMC4	16.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0
GDPD5	16.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0
FCMR	16.263158	0	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0	0
C2orf73	16.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0
ABHD14B	16.263158	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0
PLEKHH2	16.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	0	0	0	0
FGFR3	16.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	0	0	0	0
ADA	16.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	0	0	0	0
TMPRSS3	16.157895	0	0	0	0	153	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0
TARM1	16.157895	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	0	0
PLA2G2F	16.157895	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	182	0	0	0	0
NUTM2F	16.157895	0	0	0	0	0	0	0	0	196	0	0	0	111	0	0	0	0	0	0	0
NECTIN2	16.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0
MAPK12	16.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0
HLA-F	16.157895	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0
GPAA1	16.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0
C1orf56	16.157895	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	131	0	0	0	0
ADORA2B	16.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0
UGT3A2	16.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0	0
PDGFRL	16.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0	0
NEBL	16.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	77	0
NACC1	16.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0	0
IFI27L2	16.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0	0
GRIN2D	16.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0	0
FOSB	16.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0	0
WSCD1	16.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0
OTUB2	16.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0
LPAR1	16.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	121	0
IL11RA	16.052632	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FKBP4	16.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0
EIF1AX	16.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0
ECHDC2	16.052632	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0
CERK	16.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	95	0
C19orf38	16.052632	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0
RASSF8	16.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0
PLCXD1	16.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0
PDZD11	16.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	112	0
PBDC1	16.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0
MDGA1	16.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0
KIF4A	16.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	112	0
ENOX1	16.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0
DTX1	16.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0
C22orf15	16.000000	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	187	0	0	0	0
HBG1	15.947368	0	0	0	0	0	0	0	0	0	0	158	145	0	0	0	0	0	0	0	0
CH25H	15.947368	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	191	0	0	0	0
ARMC7	15.947368	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0
ZNF845	15.894737	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	185	0	0	0	0
VWDE	15.894737	0	0	0	0	0	0	0	0	0	0	132	170	0	0	0	0	0	0	0	0
VPS25	15.894737	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0
IFT27	15.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	0
CNN2	15.894737	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	0	0	0	0
ASCL5	15.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	0
ZCCHC17	15.842105	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0
VBP1	15.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0
SNRNP40	15.842105	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0
RGS17	15.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0
LURAP1	15.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0
TCP11	15.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0
SNED1	15.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0
OTUD5	15.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0
NEURL1	15.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0
IL4R	15.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0
B4GALNT1	15.789474	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	205	0	0	0	0
TMEM102	15.736842	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	181	0	0	0	0
PSMD10	15.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	0
EMILIN2	15.736842	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	165	0	0	0	0
ATG4A	15.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	0
ADAMTSL4	15.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	0
TRMT2B	15.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	0
SPRR3	15.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	0
RPGRIP1	15.684211	0	0	0	0	0	0	0	0	140	0	0	0	158	0	0	0	0	0	0	0
RASEF	15.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	0
MGLL	15.684211	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	0	0	0	0
GRID1	15.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	0
CENPA	15.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	0
C1D	15.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	0
AZIN2	15.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	0
TREML1	15.631579	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	151	0	0	0	0
TMSB15A	15.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0
TAGAP	15.631579	0	104	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0
LRP1	15.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0
KRTAP10-6	15.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0
KCND3	15.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0
FUNDC1	15.631579	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	218	0	0	0	0
BBX	15.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0
ALDH4A1	15.631579	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	170	0	0	0	0
TRIM22	15.578947	0	116	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0
TMEM203	15.578947	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0
SOX15	15.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0	0
NRIP3	15.578947	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	133	0	0	0	0
NELL1	15.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0	0
NDOR1	15.578947	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0
HSPA12B	15.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0	0
HLA-DQA1	15.578947	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GTF2IRD1	15.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0	0
FAT1	15.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0	0
CD81	15.578947	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0
ATP5ME	15.578947	0	0	0	0	0	0	0	0	76	0	0	220	0	0	0	0	0	0	0	0
ZNF189	15.526316	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0
MRPL50	15.526316	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0
GLB1L3	15.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0
COL13A1	15.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0
TNFSF15	15.473684	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDHGC3	15.473684	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	125	0	0	0	0
NOTCH4	15.473684	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-DRA	15.473684	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX49	15.473684	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0
CSNK1E	15.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0
COPE	15.473684	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0
ACTR3C	15.473684	0	0	0	0	0	0	0	0	0	0	108	186	0	0	0	0	0	0	0	0
TMX2	15.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0
SLFN5	15.421053	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0
RTL5	15.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0
MED19	15.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0
IQCN	15.421053	0	0	0	0	0	0	0	0	0	0	0	120	173	0	0	0	0	0	0	0
GOLGA8B	15.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0
CER1	15.421053	0	0	0	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STARD5	15.368421	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0
NRGN	15.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0
NME5	15.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0
LRFN3	15.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0
ITGA3	15.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0
TYW1B	15.315789	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0
MAK	15.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0
FAM81A	15.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0
CCDC40	15.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0
VAMP2	15.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	0	0
STK26	15.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	0	0
SPACA6	15.263158	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	103	0	0	0	0
MMP17	15.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	0	0
ETHE1	15.263158	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	221	0	0	0	0
VPS37D	15.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0
RAD51AP2	15.210526	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0
LOC102724488	15.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0
IL1RN	15.210526	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0
BTN2A1	15.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0
EPHX3	15.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	0	0
EMP2	15.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	0	0
DRD3	15.157895	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	0	0	0	0	0
SPATA13	15.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0	0
ESPN	15.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0	0
DDX10	15.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0	0
DAPK3	15.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0	0
AGO4	15.105263	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	192	0	0	0	0
SRSF12	15.052632	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	184	0	0	0	0
SLC5A11	15.052632	0	0	0	0	0	0	0	0	0	0	133	153	0	0	0	0	0	0	0	0
PIP5K1C	15.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	0
PIK3R4	15.052632	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0
KRTAP1-1	15.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	0
KLC3	15.052632	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0
GSG1L	15.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	0
DMD	15.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	0
ZCCHC12	15.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0
TTYH1	15.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0
TAF9B	15.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0
SORD	15.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0
SAP30L	15.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0
PITPNA	15.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0
OSR2	15.000000	0	160	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0
IQGAP3	15.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0
ZFP2	14.947368	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0
VSTM2L	14.947368	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	120	0	0	0	0
TSPYL2	14.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0
TRIM68	14.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0
TDGF1	14.947368	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXD3	14.947368	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0
CD99L2	14.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0
THNSL2	14.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0
RGS7	14.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	91	0
RBM10	14.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0
NDUFB11	14.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0
IL17RC	14.894737	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0
CST6	14.894737	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0
TMEM120A	14.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0
TFPI	14.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0
SALL4	14.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0
LOC647264	14.842105	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0
GAS2L3	14.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0
EPHA4	14.842105	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	134	0	0	0	0
TMSB15B	14.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0
PPP1R3G	14.789474	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	154	0	0	0	0
MLLT6	14.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0
MBNL3	14.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0
DENND2C	14.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0
CRYM	14.789474	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	176	0	0	0	0
ZNF469	14.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0
ULBP3	14.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0
TSPAN18	14.736842	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	170	0	0	0	0
